original_food_name,business_category,product_group,view_type,image_path,bbox_found,bbox_ratio,bbox_40_70_match,center_score,blur_score,blur_score_normalized,actual_width,actual_height,resolution_score,representative_score
황태전골,restaurant,korean_food,front,data\raw\images\VS1\A\13\A13047\34\정위\A_13_A13047_황태전골_34_10.jpg,True,0.43748319568350175,True,0.8746214847310523,7756.9451223639335,1.0,3024,3024,0.5672892720306514,0.8974798362239134
황태전골,restaurant,korean_food,front,data\raw\images\VS1\A\13\A13047\34\정위\A_13_A13047_황태전골_34_09.jpg,True,0.42996559780910093,True,0.9158764008865733,5421.590570191549,0.695001006089834,3024,3024,0.5672892720306514,0.8488565122885363
황태전골,restaurant,korean_food,side,data\raw\images\VS1\A\13\A13047\34\측면\A_13_A13047_황태전골_34_01.jpg,True,0.38436335127137317,False,0.8330846442792949,5060.760293101053,0.647876310877043,3024,3024,0.5672892720306514,0.8009119786262462
푸팟퐁커리,restaurant,delivery_food,front,data\raw\images\VS1\A\14\A14140\40\정위\A_14_A14140_푸팟퐁커리_40_10.jpg,True,0.3465542640754733,False,0.8751572139860528,5680.986882422929,0.7288783521146521,3024,3024,0.5672892720306514,0.7966512064893831
치즈떡볶이,restaurant,korean_food,side,data\raw\images\VS1\B\11\B11103\07\측면\B_11_B11103_치즈떡볶이_07_06.jpg,True,0.5814129266326248,True,0.980085546807223,2336.99582850244,0.29215070142811955,3024,3024,0.5672892720306514,0.7875491951323884
치즈피자,restaurant,pizza,front,data\raw\images\VS1\B\11\B11107\06\정위\B_11_B11107_치즈피자_06_09.jpg,True,0.3931218910642781,False,0.9929017336472089,2284.706962575713,0.2853217377123017,3024,3024,0.5672892720306514,0.784009913122464
치킨퀘사디아,restaurant,chicken,front,data\raw\images\VS1\A\14\A14120\37\정위\A_14_A14120_치킨퀘사디아_37_09.jpg,True,0.32727666632230845,False,0.8059561507493929,6386.614006868212,0.8210337650181608,3024,3024,0.5672892720306514,0.7774540720650676
게살고로케,pub,fried_side,front,data\raw\images\VS1\C\02\C02004\10\단면\C_02_C02004_게살고로케_10_08.jpg,True,0.5091139217117359,True,0.9927911603491603,111.34135589808912,0.0014786172666217995,3456,3456,0.8582375478927203,0.7768687037419805
불고기파니니,restaurant,korean_food,front,data\raw\images\VS1\C\02\C02054\05\단면\C_02_C02054_불고기파니니_05_07.jpg,True,0.41228831958315226,True,0.975755233839599,305.60773574453566,0.02684994700694755,3456,3456,0.8582375478927203,0.7768321917371772
치즈피자,restaurant,pizza,front,data\raw\images\VS1\B\11\B11107\06\정위\B_11_B11107_치즈피자_06_10.jpg,True,0.41002297000486215,True,0.9498227298421014,2262.681108122245,0.2824451451871665,3024,3024,0.5672892720306514,0.7765292387946614
애플크럼블,restaurant,delivery_food,front,data\raw\images\VS1\C\02\C02080\13\단면\C_02_C02080_애플크럼블_13_08.jpg,True,0.4256961997260893,True,0.9789609453147811,251.61132084090306,0.01979797615950418,3456,3456,0.8582375478927203,0.7763835110102432
푸팟퐁커리,restaurant,delivery_food,front,data\raw\images\VS1\A\14\A14140\40\정위\A_14_A14140_푸팟퐁커리_40_09.jpg,True,0.38270616885393516,False,0.8718259959228892,3713.73453878055,0.4719537729237953,3024,3024,0.5672892720306514,0.7758998419134167
치킨마요덮밥,restaurant,japanese_food,front,data\raw\images\VS1\B\11\B11108\06\정위\B_11_B11108_치킨마요덮밥_06_09.jpg,True,0.43133749367515606,True,0.9883679403960655,110.85217025334742,0.0014147292675414354,3456,3456,0.8582375478927203,0.775528960156236
불고기피자(팬),restaurant,korean_food,front,data\raw\images\VS1\B\11\B11052\24\정위\B_11_B11052_불고기피자(팬)_24_10.jpg,True,0.47572861816040757,True,0.986331901726683,1783.1750859488934,0.21982131181647124,3024,3024,0.5672892720306514,0.7749572236858967
치즈떡볶이,restaurant,korean_food,side,data\raw\images\VS1\B\11\B11103\07\측면\B_11_B11103_치즈떡볶이_07_05.jpg,True,0.3999426297106388,False,0.9364874148634832,2347.2786324764534,0.29349364306571035,3024,3024,0.5672892720306514,0.7746881448735936
불고기파니니,restaurant,korean_food,front,data\raw\images\VS1\C\02\C02054\05\단면\C_02_C02054_불고기파니니_05_08.jpg,True,0.40724227925184864,True,0.9702997391915428,279.14172461869885,0.023393466808389825,3456,3456,0.8582375478927203,0.7745042473030488
